No	Latitude	Longitude	Altitude	Speed	Satellites	Date	Time
1	27.024869	-108.785307	544.4	0.22	4	2016-08-08	20:54:10
2	27.024809	-108.785376	538.1	0.33	4	2016-08-08	20:58:33
3	27.024893	-108.785353	547.6	0.27	4	2016-08-08	20:59:34
4	27.024750	-108.785276	556.0	0.42	4	2016-08-08	21:02:11
5	27.024694	-108.785242	552.7	0.39	4	2016-08-08	21:03:09
6	27.024596	-108.785359	533.4	0.45	4	2016-08-08	21:04:10
7	27.024646	-108.785300	559.2	0.10	4	2016-08-08	21:05:54
8	27.024622	-108.785333	546.5	0.33	4	2016-08-08	21:06:59
9	27.024571	-108.785320	533.2	0.08	4	2016-08-08	21:08:18
10	27.024565	-108.785346	533.3	0.25	4	2016-08-08	21:09:17
11	27.024494	-108.785330	525.8	0.10	4	2016-08-08	21:10:21
12	27.024456	-108.785320	530.6	0.06	4	2016-08-08	21:11:20
13	27.024546	-108.785331	548.9	0.12	4	2016-08-08	21:12:19
14	27.024566	-108.785339	570.4	0.13	4	2016-08-08	21:13:16
15	27.024445	-108.785414	535.8	0.10	4	2016-08-08	21:14:19
16	27.024471	-108.785444	548.6	0.15	4	2016-08-08	21:15:24
17	27.024910	-108.785253	742.0	0.34	4	2016-08-08	21:16:34
18	27.024305	-108.785478	518.2	0.22	4	2016-08-08	21:17:57
19	27.024454	-108.785485	543.5	0.18	4	2016-08-08	21:19:26
20	27.024540	-108.785554	563.0	0.18	4	2016-08-08	21:21:03
21	27.026728	-108.785416	1415.8	0.88	4	2016-08-08	21:22:43
22	27.026155	-108.785290	1228.6	1.13	4	2016-08-08	21:24:24
23	27.026174	-108.785202	1219.1	2.44	4	2016-08-08	21:26:08
24	27.028191	-108.785117	1944.4	0.38	4	2016-08-08	21:27:50
25	27.028097	-108.785278	1941.4	0.83	4	2016-08-08	21:29:33
26	27.027915	-108.785406	1924.5	0.55	4	2016-08-08	21:31:17
27	27.024235	-108.785595	525.4	0.36	5	2016-08-08	21:33:02
28	27.024212	-108.785562	532.1	0.16	5	2016-08-08	21:34:26
29	27.024187	-108.785472	522.1	0.08	4	2016-08-08	21:35:17
30	27.024247	-108.785535	522.2	0.32	5	2016-08-08	21:36:07
